Durchgang;Bubblesort Zeit;Insertionsort Zeit;Mergesort Zeit;Quicksort Zeit;Selectionsort Zeit;Simplesort Zeit;
95;0,032526;0,009939;0,015661;0,011444;0,017769;0,030719;
96;0,031924;0,01024;0,014757;0,010842;0,018672;0,031322;
97;0,032225;0,010239;0,016263;0,012047;0,018974;0,033128;
98;0,032224;0,011444;0,01536;0,011745;0,02048;0,034333;
99;0,033731;0,011143;0,015962;0,012348;0,020781;0,033731;
100;0,035237;0,011143;0,016564;0,01265;0,020178;0,035236;
101;0,035839;0,011143;0,016565;0,012047;0,02078;0,03343;
102;0,036742;0,011444;0,016865;0,012348;0,021383;0,036441;
103;0,03614;0,011445;0,017166;0,012348;0,021082;0,035839;
104;0,037044;0,011143;0,018672;0,012047;0,020781;0,035839;
105;0,037646;0,012348;0,017769;0,011745;0,021382;0,040657;
106;0,037345;0,013251;0,017468;0,012649;0,021985;0,040658;
107;0,039152;0,011745;0,018371;0,012649;0,022286;0,037646;
108;0,040055;0,011444;0,017167;0,012649;0,022286;0,039754;
109;0,039754;0,013251;0,017167;0,012047;0,02319;0,040356;
110;0,039152;0,011746;0,017467;0,012348;0,022888;0,040357;
111;0,04397;0,01295;0,017769;0,01295;0,022888;0,044572;
112;0,042765;0,013252;0,017468;0,013552;0,024094;0,044572;
113;0,042464;0,013853;0,018071;0,013552;0,023792;0,04638;
114;2,564442;0,017769;0,018973;0,013854;0,024997;0,040959;
115;0,044572;0,014757;0,021082;0,014456;0,027707;0,043971;
116;0,052704;0,013251;0,01807;0,013553;0,024997;0,043669;
117;0,044874;0,013251;0,01807;0,013854;0,025298;0,045477;
118;0,046079;0,013854;0,019274;0,013853;0,031623;0,045777;
119;0,046982;0,015058;0,018672;0,014155;0,026503;0,049693;
120;0,048488;0,017167;0,024997;0,015059;0,027406;0,051198;
121;0,045778;0,015058;0,019877;0,014154;0,026803;0,046379;
122;0,053306;0,01536;0,019275;0,014757;0,027406;0,049693;
123;0,028009;0,008131;0,011445;0,008734;0,015359;0,027708;
124;0,028611;0,008734;0,01295;0,008433;0,015661;0,030418;
125;0,046079;0,01295;0,017769;0,012649;0,02319;0,041862;
126;0,037044;0,012047;0,015961;0,010843;0,021081;0,039152;
127;0,052102;0,01536;0,019275;0,014757;0,029515;0,05421;
128;0,050295;0,015058;0,019576;0,016263;0,029515;0,055113;
129;0,052705;0,016564;0,019576;0,015359;0,029514;0,054511;
130;0,053909;0,016865;0,019877;0,016564;0,036441;0,059631;
131;0,052102;0,017468;0,019877;0,015058;0,030719;0,057221;
132;0,055113;0,016866;0,020178;0,015661;0,031623;0,050897;
133;0,055415;0,017467;0,021383;0,015962;0,031623;0,057824;
134;0,057824;0,018974;0,022286;0,016866;0,032224;0,05692;
135;0,032225;0,009637;0,011444;0,008433;0,017468;0,030719;
136;0,057221;0,01807;0,021082;0,015058;0,031322;0,062944;
137;0,059631;0,017468;0,023491;0,015962;0,033129;0,062944;
138;0,061438;0,018673;0,021684;0,01536;0,033429;0,058728;
139;0,062041;0,018371;0,021082;0,015661;0,035236;0,060534;
140;0,06204;0,018372;0,021081;0,015962;0,034333;0,065353;
141;0,062041;0,019275;0,021985;0,017166;0,034935;0,06716;
142;0,062041;0,021985;0,022889;0,017467;0,034334;0,070172;
143;0,061439;0,021684;0,022889;0,016263;0,034634;0,067763;
144;0,065053;0,020479;0,02319;0,017769;0,035839;0,06957;
145;0,067462;0,019877;0,024094;0,017769;0,036441;0,071979;
146;0,065655;0,02078;0,023793;0,017166;0,035538;0,071076;
147;0,066859;0,021986;0,023491;0,017468;0,03614;0,066859;
148;0,067762;0,020781;0,023491;0,017167;0,037646;0,070172;
149;0,068365;0,021383;0,024997;0,018371;0,038851;0,073184;
150;0,067763;0,021082;0,024093;0,017468;0,038248;0,075895;
151;0,070473;0,022889;0,026503;0,01807;0,041561;0,075894;
152;0,070172;0,021684;0,024093;0,017166;0,039453;0,077099;
153;0,06957;0,022286;0,024696;0,018371;0,041561;0,085832;
154;0,070474;0,023491;0,027406;0,018973;0,040056;0,0774;
